# Constructed from biom file
#OTU ID	ERR1513669	ERR1513670	ERR1513671	ERR1513672	ERR1513673	ERR1513674	ERR1513675	ERR1513676	ERR1513677	ERR1513678	ERR1513680	ERR1513681	ERR1513715	ERR1513716	ERR1513717	ERR1513718	ERR1513719	ERR1513721	ERR1513722	ERR1513723	ERR1513724	ERR1513725	ERR1513726	ERR1513727	ERR1513728	ERR1513729	ERR1513730	ERR1513731	ERR1513732	ERR1513733	ERR1513734	ERR1513735	ERR1513736	ERR1513737	ERR1513738	ERR1513739	ERR1513740	ERR1513741	ERR1513742	ERR1513743	ERR1513744	ERR1513745	ERR1513746	ERR1513748	ERR1513749	ERR1513750	ERR1513751	ERR1513752	ERR1513753	ERR1513754	ERR1513755	ERR1513756	ERR1513757	ERR1513758	ERR1513759	ERR1513760	ERR1513761	ERR1513762	ERR1513763	ERR1513764	ERR1513765	ERR1513766	ERR1513767	ERR1513768	ERR1513769	ERR1513770	ERR1513771	ERR1513772	ERR1513774	ERR1513775	ERR1513776	ERR1513777	ERR1513958	ERR1513959	ERR1513960	ERR1513961	ERR1513962	ERR1513963	ERR1513965	ERR1513966	ERR1513967	ERR1513968	ERR1513969	ERR1513970	ERR1513971	ERR1513973	ERR1513974	ERR1513975	ERR1513976	ERR1513977	ERR1513978	ERR1513979	ERR1513980	ERR1513981	ERR1513983	ERR1513984	ERR1513985	ERR1513986	ERR1513987	ERR1513988	ERR1513989	ERR1513990	ERR1513991	ERR1513992	ERR1513993	ERR1513994	ERR1513995	ERR1513996	ERR1513997	ERR1513998	ERR1513999	ERR1514000	ERR1514001	ERR1514002	ERR1514003	ERR1514004	ERR1514005	ERR1514006	ERR1514007	ERR1514008	ERR1514009	ERR1514010	ERR1514011	ERR1514012	ERR1514013	ERR1514014	ERR1514015
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	3469.0	320.0	9762.0	9050.0	10505.0	6811.0	3736.0	6262.0	3521.0	449.0	9276.0	38.0	3041.0	2395.0	118.0	312.0	57.0	4236.0	5660.0	8079.0	437.0	3390.0	5544.0	662.0	280.0	1915.0	954.0	6800.0	8058.0	2274.0	320.0	444.0	2863.0	6549.0	593.0	94.0	1941.0	1766.0	2343.0	1581.0	454.0	6482.0	207.0	13.0	179.0	5659.0	411.0	281.0	785.0	57.0	5067.0	6112.0	2932.0	15.0	3402.0	10365.0	57.0	26.0	87.0	4648.0	67.0	3231.0	757.0	129.0	4840.0	4535.0	312.0	5946.0	1232.0	130.0	5694.0	637.0	3961.0	100.0	3076.0	19.0	75.0	66.0	3107.0	5013.0	5616.0	2431.0	3709.0	9384.0	962.0	17787.0	7350.0	6485.0	394.0	5202.0	2795.0	19902.0	6134.0	4003.0	4056.0	334.0	2053.0	471.0	487.0	105.0	4377.0	3553.0	5526.0	1631.0	2873.0	1063.0	1745.0	94.0	106.0	1804.0	4123.0	996.0	1115.0	948.0	9716.0	836.0	2640.0	2667.0	45.0	1824.0	38.0	74.0	3363.0	336.0	8327.0	4046.0	6241.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia	3499.0	2512.0	3734.0	657.0	1191.0	4923.0	1982.0	4120.0	4101.0	5665.0	7400.0	6099.0	7638.0	5489.0	5867.0	2907.0	3636.0	8417.0	8681.0	8985.0	7476.0	3484.0	7165.0	6201.0	12311.0	3252.0	7224.0	2981.0	2832.0	10995.0	5423.0	5256.0	10330.0	11952.0	5356.0	44.0	8176.0	4475.0	2256.0	3778.0	6495.0	8261.0	3903.0	2217.0	5348.0	6035.0	8837.0	6923.0	12366.0	4421.0	4311.0	4605.0	6500.0	5022.0	5921.0	4458.0	2052.0	11548.0	5683.0	3420.0	11121.0	7224.0	1873.0	3961.0	3428.0	11961.0	10246.0	6222.0	897.0	7322.0	4759.0	9895.0	5404.0	5339.0	5425.0	3209.0	1326.0	5594.0	5464.0	12077.0	996.0	4153.0	6982.0	2672.0	12010.0	2526.0	3355.0	6212.0	5245.0	4679.0	5435.0	5349.0	4440.0	2988.0	3334.0	6516.0	3463.0	12877.0	3126.0	3602.0	4007.0	4763.0	4515.0	5927.0	3291.0	769.0	1744.0	2139.0	6464.0	6087.0	2633.0	6825.0	4278.0	3209.0	3802.0	3211.0	22033.0	3950.0	3495.0	1453.0	1661.0	6368.0	2673.0	4163.0	6575.0	4174.0	2140.0
d__Bacteria;p__Firmicutes;c__Clostridia	2342.0	9268.0	3291.0	5523.0	9254.0	2081.0	2358.0	2206.0	2570.0	13203.0	6288.0	5713.0	6398.0	3933.0	15430.0	5960.0	4167.0	2436.0	2728.0	3762.0	4449.0	1747.0	622.0	10810.0	5406.0	4401.0	4303.0	940.0	3579.0	11548.0	8402.0	8510.0	3240.0	5700.0	4188.0	8545.0	6296.0	5635.0	719.0	3756.0	12957.0	3332.0	3154.0	12428.0	5891.0	3815.0	9835.0	8547.0	4997.0	7154.0	516.0	3919.0	4696.0	4026.0	6177.0	1191.0	6486.0	13227.0	5754.0	493.0	2211.0	3793.0	2318.0	9988.0	1460.0	13465.0	11122.0	5749.0	1395.0	2701.0	2863.0	16184.0	5477.0	11769.0	3079.0	4973.0	2636.0	4118.0	3514.0	7133.0	2760.0	2335.0	2910.0	926.0	18339.0	2601.0	2483.0	1653.0	7244.0	6627.0	2668.0	2643.0	4067.0	4172.0	2030.0	8898.0	3816.0	17035.0	1889.0	7927.0	7240.0	3889.0	8408.0	5580.0	10749.0	10518.0	3924.0	4235.0	4783.0	10055.0	5002.0	1780.0	4542.0	2016.0	3049.0	5803.0	18800.0	3407.0	4857.0	10673.0	4421.0	5427.0	1052.0	3312.0	7943.0	3197.0	370.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.0	0.0	267.0	9.0	0.0	13.0	14.0	335.0	369.0	7.0	119.0	87.0	76.0	6.0	179.0	0.0	3.0	53.0	150.0	19.0	0.0	300.0	0.0	414.0	3748.0	0.0	5.0	0.0	0.0	261.0	175.0	1166.0	924.0	1537.0	471.0	8.0	2624.0	88.0	0.0	270.0	197.0	0.0	0.0	0.0	62.0	10.0	914.0	69.0	2103.0	2.0	5.0	2360.0	7.0	454.0	35.0	222.0	75.0	28.0	5.0	0.0	0.0	0.0	110.0	65.0	0.0	4230.0	1031.0	167.0	77.0	2072.0	0.0	212.0	0.0	3.0	3.0	144.0	37.0	0.0	168.0	0.0	74.0	800.0	53.0	6.0	306.0	0.0	64.0	0.0	0.0	163.0	499.0	237.0	766.0	514.0	5.0	559.0	0.0	0.0	456.0	230.0	243.0	0.0	381.0	586.0	552.0	0.0	0.0	0.0	356.0	418.0	2610.0	72.0	161.0	18.0	0.0	6.0	23.0	636.0	29.0	0.0	0.0	18.0	0.0	0.0	262.0	2441.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria	155.0	91.0	134.0	2538.0	98.0	22.0	5.0	48.0	6.0	941.0	30.0	196.0	20.0	208.0	897.0	128.0	75.0	30.0	37.0	57.0	12.0	17.0	19.0	132.0	17.0	34.0	46.0	29.0	29.0	154.0	53.0	118.0	134.0	20.0	15.0	184.0	57.0	395.0	44.0	5.0	60.0	17.0	5.0	24.0	19.0	38.0	51.0	287.0	11.0	20.0	16.0	24.0	70.0	0.0	196.0	21.0	0.0	60.0	7.0	0.0	33.0	0.0	58.0	15.0	26.0	209.0	43.0	18.0	83.0	9.0	0.0	6.0	51.0	232.0	0.0	64.0	75.0	8.0	103.0	1987.0	434.0	28.0	19.0	180.0	35.0	25.0	16.0	20.0	19.0	554.0	168.0	45.0	25.0	29.0	8.0	7.0	20.0	106.0	170.0	80.0	30.0	23.0	10.0	11.0	27.0	7391.0	0.0	12.0	17.0	442.0	16.0	19.0	3.0	0.0	14.0	53.0	82.0	210.0	361.0	304.0	61.0	12.0	9.0	6.0	21.0	50.0	2.0
d__Bacteria;p__Firmicutes;c__Negativicutes	315.0	4970.0	213.0	25.0	420.0	26.0	22.0	248.0	147.0	468.0	216.0	583.0	236.0	103.0	990.0	304.0	185.0	226.0	175.0	201.0	613.0	128.0	327.0	579.0	1805.0	60.0	84.0	50.0	158.0	114.0	187.0	107.0	755.0	14.0	459.0	593.0	138.0	37.0	1269.0	36.0	213.0	895.0	234.0	651.0	112.0	552.0	1448.0	457.0	1427.0	16.0	280.0	43.0	240.0	89.0	176.0	36.0	146.0	404.0	259.0	298.0	684.0	255.0	0.0	100.0	224.0	825.0	89.0	236.0	11.0	365.0	128.0	277.0	49.0	416.0	22.0	325.0	138.0	149.0	34.0	36.0	158.0	261.0	63.0	577.0	259.0	50.0	61.0	62.0	315.0	164.0	61.0	915.0	257.0	57.0	14.0	128.0	270.0	206.0	350.0	28.0	53.0	71.0	198.0	800.0	62.0	130.0	23.0	67.0	229.0	160.0	37.0	213.0	482.0	31.0	405.0	394.0	679.0	130.0	107.0	399.0	557.0	390.0	47.0	295.0	74.0	68.0	17.0
d__Bacteria;p__Firmicutes;c__Bacilli	103.0	409.0	75.0	79.0	175.0	59.0	223.0	361.0	143.0	313.0	320.0	150.0	529.0	201.0	228.0	133.0	24.0	90.0	288.0	58.0	56.0	11.0	73.0	110.0	61.0	172.0	27.0	19.0	400.0	465.0	961.0	577.0	275.0	593.0	139.0	603.0	180.0	303.0	193.0	366.0	190.0	62.0	47.0	38.0	101.0	203.0	488.0	325.0	49.0	170.0	47.0	73.0	164.0	107.0	870.0	117.0	118.0	200.0	94.0	60.0	155.0	225.0	16.0	1462.0	85.0	815.0	394.0	352.0	83.0	127.0	107.0	1795.0	173.0	151.0	250.0	175.0	143.0	45.0	110.0	1098.0	69.0	53.0	153.0	29.0	889.0	532.0	142.0	230.0	93.0	177.0	119.0	297.0	184.0	190.0	65.0	202.0	618.0	1664.0	168.0	440.0	592.0	87.0	535.0	86.0	1216.0	1677.0	49.0	99.0	68.0	363.0	1331.0	53.0	169.0	117.0	121.0	290.0	439.0	652.0	52.0	63.0	273.0	709.0	40.0	69.0	82.0	181.0	62.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	0.0	13.0	117.0	0.0	5.0	5.0	26.0	43.0	34.0	0.0	80.0	40.0	111.0	8.0	83.0	101.0	63.0	111.0	25.0	96.0	185.0	7.0	24.0	195.0	0.0	50.0	74.0	0.0	0.0	162.0	11.0	42.0	112.0	3.0	0.0	7.0	52.0	17.0	57.0	4.0	168.0	49.0	481.0	2.0	43.0	115.0	118.0	126.0	519.0	0.0	0.0	48.0	72.0	0.0	28.0	78.0	0.0	22.0	67.0	0.0	94.0	0.0	0.0	13.0	0.0	157.0	52.0	23.0	0.0	0.0	11.0	206.0	116.0	64.0	5.0	0.0	11.0	0.0	61.0	0.0	24.0	114.0	0.0	0.0	437.0	0.0	0.0	28.0	0.0	70.0	84.0	39.0	0.0	61.0	15.0	50.0	72.0	113.0	53.0	23.0	46.0	6.0	21.0	0.0	0.0	133.0	19.0	0.0	0.0	51.0	15.0	7.0	266.0	27.0	0.0	118.0	433.0	310.0	33.0	0.0	0.0	143.0	0.0	0.0	16.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.0	0.0	59.0	0.0	0.0	0.0	40.0	0.0	0.0	2.0	122.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	7.0	0.0	0.0	45.0	8.0	268.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	6.0	0.0	760.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	8.0	111.0	0.0	313.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	78.0	0.0	32.0	588.0	0.0	17.0	0.0	136.0	952.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	31.0	2.0	0.0	0.0	949.0	0.0	89.0	0.0	1560.0	228.0	0.0	422.0	46.0	30.0	16.0	0.0	0.0	0.0	8.0	521.0	270.0	0.0	0.0	0.0	354.0	0.0	499.0	11.0	0.0	277.0	0.0	20.0	0.0	5.0	138.0	0.0	11.0	0.0	26.0	0.0	0.0	0.0	0.0	98.0	0.0	98.0	0.0
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia	0.0	0.0	3.0	7.0	7.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	727.0	0.0	0.0	880.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	29.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	193.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	2.0	0.0	0.0	0.0	6.0	378.0	12.0	0.0	0.0	0.0	30.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
